n_param,density,seed,n_traversable,d_shortest,path_length,reactions,gradient_reactions,agent_moves,tagging_reactions,termination_reactions,final_time,reached,first_gradient_time,first_tagging_time,first_agent_move_time,reached_time
15,0.0,27,225,28,32,287,254,31,1,1,32.021865147387324,True,0.044718313135184096,1.197484631602397,1.3930970197887376,32.021865147387324
15,0.0,28,225,28,32,287,254,31,1,1,32.021865147387324,True,0.044718313135184096,1.197484631602397,1.3930970197887376,32.021865147387324
15,0.0,29,225,28,32,287,254,31,1,1,32.021865147387324,True,0.044718313135184096,1.197484631602397,1.3930970197887376,32.021865147387324
15,0.1,0,208,28,28,262,233,27,1,1,27.087901817875583,True,0.044718313135184096,1.2155010677238751,1.482317438539153,27.087901817875583
15,0.1,1,200,28,32,262,229,31,1,1,29.78778929400819,True,0.044718313135184096,1.9066064259773758,3.8844010961314472,29.78778929400819
15,0.1,2,198,28,28,252,223,27,1,1,26.914902409269093,True,0.044718313135184096,1.7176437888922234,3.181850050646118,26.914902409269093
15,0.1,3,203,28,30,261,230,29,1,1,35.798016429809394,True,0.044718313135184096,2.612014511570833,3.8647289532226137,35.798016429809394
15,0.1,4,197,28,30,255,224,29,1,1,33.74162957678088,True,0.044718313135184096,2.100323387107463,2.9556455705671065,33.74162957678088
15,0.1,5,202,28,34,268,233,33,1,1,28.733789945828825,True,0.044718313135184096,1.7000064279367835,2.5776193004589216,28.733789945828825
15,0.1,6,199,28,30,257,226,29,1,1,31.99261905798906,True,0.044718313135184096,1.6317073583077815,1.997062995970054,31.99261905798906
15,0.1,7,199,28,30,257,226,29,1,1,35.16504517914331,True,0.044718313135184096,1.2136637664041319,1.5431767292572185,35.16504517914331
15,0.1,8,205,28,28,259,230,27,1,1,31.25558685425899,True,0.044718313135184096,1.886741945754272,2.392161228584876,31.25558685425899
15,0.1,9,191,28,28,245,216,27,1,1,32.263339867745245,True,0.044718313135184096,1.759927239124278,2.0460929451200314,32.263339867745245
15,0.1,10,202,28,32,264,231,31,1,1,29.081821866009335,True,0.044718313135184096,1.5505901024177478,1.8981366349481716,29.081821866009335
15,0.1,11,200,28,28,253,224,27,1,1,25.356222088194087,True,0.044718313135184096,1.6562870284997542,1.923103399315032,25.356222088194087
15,0.1,12,205,28,30,263,232,29,1,1,35.24691949661436,True,0.044718313135184096,1.4439384886530475,1.7110410120068154,35.24691949661436
15,0.1,13,204,28,30,262,231,29,1,1,30.133891502775146,True,0.044718313135184096,2.2182979978961743,3.7941348544792923,30.133891502775146
15,0.1,14,206,28,30,264,233,29,1,1,28.546047287677364,True,0.044718313135184096,1.4179954820067056,2.5583377760035075,28.546047287677364
15,0.1,15,204,28,28,257,228,27,1,1,25.63002370154524,True,0.044718313135184096,1.262867227191619,1.8005855493639968,25.63002370154524
15,0.1,16,200,28,32,261,228,31,1,1,32.829746973062775,True,0.044718313135184096,1.4187254637607019,1.8859354995539257,32.829746973062775
15,0.1,17,205,28,30,263,232,29,1,1,29.00683284969079,True,0.044718313135184096,2.1017646097303233,2.2017634379136246,29.00683284969079
15,0.1,18,207,28,34,273,238,33,1,1,31.907928161866845,True,0.044718313135184096,1.4734002723799455,2.990160400262832,31.907928161866845
15,0.1,19,202,28,32,264,231,31,1,1,32.56670875673529,True,0.044718313135184096,1.659115267158393,4.404418048322555,32.56670875673529
15,0.1,20,199,28,32,261,228,31,1,1,31.888885637887,True,0.044718313135184096,1.7089648390855838,1.721146279416401,31.888885637887
15,0.1,21,198,28,42,280,237,41,1,1,37.465767704453896,True,0.044718313135184096,1.4249957445127202,1.721173211309714,37.465767704453896
15,0.1,22,201,28,32,263,230,31,1,1,29.18739294422273,True,0.044718313135184096,1.5288480555894557,2.821297138740746,29.18739294422273
15,0.1,23,205,28,28,259,230,27,1,1,37.35232542302222,True,0.044718313135184096,1.6937677423427258,3.2696045989258438,37.35232542302222
15,0.1,24,208,28,28,262,233,27,1,1,34.70679309853177,True,0.044718313135184096,1.8176505983236857,5.430812305903954,34.70679309853177
15,0.1,25,199,28,30,257,226,29,1,1,39.15492701324339,True,0.044718313135184096,1.6781959250776897,2.9309103667294703,39.15492701324339
15,0.1,26,185,28,36,255,218,35,1,1,46.18016789199621,True,0.044718313135184096,2.1072598117933965,3.650435372603413,46.18016789199621
15,0.1,27,204,28,28,258,229,27,1,1,20.49148017163721,True,0.044718313135184096,2.3516738030447866,2.451672631228088,20.49148017163721
15,0.1,28,202,28,28,256,227,27,1,1,36.082757750273515,True,0.044718313135184096,1.5251300792068045,1.8213075460037984,36.082757750273515
15,0.1,29,211,28,28,265,236,27,1,1,26.590604224836394,True,0.044718313135184096,1.3999244730468288,2.1605154058153015,26.590604224836394
15,0.2,0,189,28,30,247,216,29,1,1,28.171000024072605,True,0.044718313135184096,1.181202331295012,1.258542265463031,28.171000024072605
15,0.2,1,182,28,36,252,215,35,1,1,39.86235418103204,True,0.044718313135184096,1.4735593486907148,1.5362466347421366,39.86235418103204
15,0.2,2,176,28,30,228,197,29,1,1,29.903474025918335,True,0.044718313135184096,1.7019612669896012,3.861817069314525,29.903474025918335
15,0.2,3,188,28,30,246,215,29,1,1,27.80347683407538,True,0.044718313135184096,2.2067079160558607,2.9724511870914077,27.80347683407538
15,0.2,4,175,28,34,240,205,33,1,1,44.0736263780129,True,0.044718313135184096,1.45078266122944,2.7268782561260556,44.0736263780129
15,0.2,5,179,28,30,236,205,29,1,1,27.881033272292413,True,0.044718313135184096,1.7611782113970051,2.090023637995123,27.881033272292413
15,0.2,6,171,28,28,224,195,27,1,1,38.14815060694128,True,0.044718313135184096,2.280014402832846,3.760199806614501,38.14815060694128
15,0.2,7,171,28,28,224,195,27,1,1,38.14815060694128,True,0.044718313135184096,2.280014402832846,3.760199806614501,38.14815060694128
15,0.2,8,183,28,30,241,210,29,1,1,40.47928093131722,True,0.044718313135184096,1.8116481375516411,2.8216412949614575,40.47928093131722
15,0.2,9,166,28,30,222,191,29,1,1,43.991593358952194,True,0.044718313135184096,2.9566845695630732,4.866594089208682,43.991593358952194
15,0.2,10,183,28,34,248,213,33,1,1,34.15780824578676,True,0.044718313135184096,2.1208821653088217,3.339443525270616,34.15780824578676
15,0.2,11,179,28,28,232,203,27,1,1,29.998207476529814,True,0.044718313135184096,1.6743336809421354,2.0036297293030363,29.998207476529814
15,0.2,12,178,28,30,234,203,29,1,1,35.442633059245246,True,0.044718313135184096,2.502642825315288,2.7316214939206462,35.442633059245246
15,0.2,13,178,28,30,234,203,29,1,1,35.442633059245246,True,0.044718313135184096,2.502642825315288,2.7316214939206462,35.442633059245246
15,0.2,14,183,28,32,244,211,31,1,1,29.89043845101576,True,0.044718313135184096,2.6279106569927198,3.7359672953349996,29.89043845101576
15,0.2,15,186,28,30,242,211,29,1,1,27.099613073450094,True,0.044718313135184096,1.4760989432690879,2.342537375779848,27.099613073450094
15,0.2,16,172,28,30,229,198,29,1,1,27.27809777182712,True,0.044718313135184096,1.6690732041881968,5.412855207633816,27.27809777182712
15,0.2,17,189,28,28,243,214,27,1,1,31.896007974172182,True,0.044718313135184096,1.3095408537836113,1.7669191497960455,31.896007974172182
15,0.2,18,180,28,28,233,204,27,1,1,27.73265569314344,True,0.044718313135184096,1.892375420428045,2.846379874840164,27.73265569314344
15,0.2,19,181,28,28,234,205,27,1,1,29.549566824601705,True,0.044718313135184096,1.3161536300069017,2.226461328330899,29.549566824601705
15,0.2,20,175,28,32,233,200,31,1,1,39.636165880998696,True,0.044718313135184096,1.9315157678528907,2.0839757511525816,39.636165880998696
